race_id,race_date,target_market,observed_tv,target_turnover_won,trifecta_turnover_won,noise_base_per_sqrt_won,break_even_u_won,noise_tv_u_1000,noise_tv_u_10000,noise_tv_u_50000,noise_tv_u_100000
2016-10-21_3_10,2016-10-21,exacta,0.047772256091,511608600,210289600,0.000189314282142,63677.3153978,0.00598664325168,0.0189314282142,0.0423319603981,0.0598664325168
2016-10-22_2_08,2016-10-22,exacta,0.0524383395624,355396100,191007600,0.000232890308522,50698.4907016,0.00736463819908,0.0232890308522,0.0520758561155,0.0736463819908
2016-10-23_3_01,2016-10-23,exacta,0.0538623295028,740910700,391992200,0.000122684494467,192748.456665,0.00387962436102,0.0122684494467,0.0274330869413,0.0387962436102
2016-10-23_3_02,2016-10-23,exacta,0.0680035999905,758210700,385758800,0.00012287544985,306290.528053,0.00388566290045,0.012287544985,0.0274757858631,0.0388566290045
2016-10-23_3_03,2016-10-23,exacta,0.0370982936627,757987100,382378100,0.000144910270489,65540.4675421,0.00458246511098,0.0144910270489,0.0324029215452,0.0458246511098
2016-10-28_2_06,2016-10-28,exacta,0.0873051748854,78972200,235046700,0.000220336759209,157002.315854,0.0069676601136,0.0220336759209,0.0492687971533,0.069676601136
2016-10-28_2_07,2016-10-28,exacta,0.0636883991314,343304200,215729400,0.000219617065936,84098.5475042,0.00694490141402,0.0219617065936,0.0491078688452,0.0694490141402
2016-10-28_2_09,2016-10-28,exacta,0.123870760676,25191000,28285800,0.000621186935307,39764.2671443,0.0196436556831,0.0621186935307,0.138901621408,0.196436556831
2016-10-29_1_11,2016-10-29,exacta,0.0481502926018,731095900,286474000,0.000136667253864,124127.762018,0.0043217980377,0.0136667253864,0.0305597269938,0.043217980377
2016-10-29_2_01,2016-10-29,exacta,0.0782134374312,49310600,143807200,0.000407430028214,36851.6280018,0.012884068763,0.0407430028214,0.0911041239161,0.12884068763
2016-10-29_2_04,2016-10-29,exacta,0.0544524002514,322608000,192998200,0.000217498467922,62678.9412736,0.0068779054623,0.0217498467922,0.0486341359275,0.068779054623
2016-10-29_2_06,2016-10-29,exacta,0.0690643929148,400529800,219755600,0.000217968050527,100397.458123,0.00689275496811,0.0217968050527,0.04873913779,0.0689275496811
2016-10-29_2_08,2016-10-29,exacta,0.0531506095559,344609900,187073200,0.000310714334003,29261.3205415,0.00982564997111,0.0310714334003,0.0694778372414,0.0982564997111
2016-10-30_1_10,2016-10-30,exacta,0.0637230201124,960579100,443837000,0.00010202245745,390122.627733,0.00322623338031,0.010202245745,0.0228129150091,0.0322623338031
