race_id,race_date,target_market,model,tv
2025-08-08_2_03,2025-08-08,win,main,0.0995162392985
2025-08-08_2_03,2025-08-08,win,harville,1.63064006742e-16
2025-08-08_2_03,2025-08-08,exacta,main,0.0587140026148
2025-08-08_2_03,2025-08-08,exacta,harville,0.13654948303
2025-08-08_2_03,2025-08-08,quinella,main,0.052567341354
2025-08-08_2_03,2025-08-08,quinella,harville,0.150725557236
2025-08-08_2_03,2025-08-08,trio,main,0.0340141038101
2025-08-08_2_03,2025-08-08,trio,harville,0.167392526235
2025-08-08_2_05,2025-08-08,win,main,0.0958356717765
2025-08-08_2_05,2025-08-08,win,harville,5.20417042793e-17
2025-08-08_2_05,2025-08-08,exacta,main,0.0807469474936
2025-08-08_2_05,2025-08-08,exacta,harville,0.117332626534
2025-08-08_2_05,2025-08-08,quinella,main,0.0815364764505
2025-08-08_2_05,2025-08-08,quinella,harville,0.0998464698005
2025-08-08_2_05,2025-08-08,trio,main,0.0552254084973
2025-08-08_2_05,2025-08-08,trio,harville,0.133232651215
2025-08-08_2_06,2025-08-08,win,main,0.0851814475016
2025-08-08_2_06,2025-08-08,win,harville,8.76035355368e-17
2025-08-08_2_06,2025-08-08,exacta,main,0.0861101685108
2025-08-08_2_06,2025-08-08,exacta,harville,0.154750035046
2025-08-08_2_06,2025-08-08,quinella,main,0.0793790419069
2025-08-08_2_06,2025-08-08,quinella,harville,0.170455244475
2025-08-08_2_06,2025-08-08,trio,main,0.0528191160394
2025-08-08_2_06,2025-08-08,trio,harville,0.205692767676
2025-08-08_2_08,2025-08-08,win,main,0.106509225333
2025-08-08_2_08,2025-08-08,win,harville,6.15826833972e-17
2025-08-08_2_08,2025-08-08,exacta,main,0.0701567346517
2025-08-08_2_08,2025-08-08,exacta,harville,0.167211572752
2025-08-08_2_08,2025-08-08,quinella,main,0.0988602588517
2025-08-08_2_08,2025-08-08,quinella,harville,0.138972367563
2025-08-08_2_08,2025-08-08,trio,main,0.0572581774627
2025-08-08_2_08,2025-08-08,trio,harville,0.224680743664
2025-08-08_2_10,2025-08-08,win,main,0.0835323270722
2025-08-08_2_10,2025-08-08,win,harville,7.1123662515e-17
2025-08-08_2_10,2025-08-08,exacta,main,0.0644991041456
2025-08-08_2_10,2025-08-08,exacta,harville,0.104141687304
2025-08-08_2_10,2025-08-08,quinella,main,0.0570224007629
2025-08-08_2_10,2025-08-08,quinella,harville,0.098232326427
2025-08-08_2_10,2025-08-08,trio,main,0.0520769915636
2025-08-08_2_10,2025-08-08,trio,harville,0.12380502649
2025-08-08_2_11,2025-08-08,win,main,0.0397212654937
2025-08-08_2_11,2025-08-08,win,harville,2.08166817117e-17
2025-08-08_2_11,2025-08-08,exacta,main,0.0506475063047
2025-08-08_2_11,2025-08-08,exacta,harville,0.0938386444191
2025-08-08_2_11,2025-08-08,quinella,main,0.0444074112984
2025-08-08_2_11,2025-08-08,quinella,harville,0.081823940195
2025-08-08_2_11,2025-08-08,trio,main,0.0265938978646
2025-08-08_2_11,2025-08-08,trio,harville,0.122897261289
2025-08-08_2_12,2025-08-08,win,main,0.0554336572964
2025-08-08_2_12,2025-08-08,win,harville,2.77555756156e-17
2025-08-08_2_12,2025-08-08,exacta,main,0.0552560708732
2025-08-08_2_12,2025-08-08,exacta,harville,0.0900766409537
2025-08-08_2_12,2025-08-08,quinella,main,0.0711664800338
2025-08-08_2_12,2025-08-08,quinella,harville,0.0781525434996
2025-08-08_2_12,2025-08-08,trio,main,0.0518155207517
2025-08-08_2_12,2025-08-08,trio,harville,0.106090714793
2025-08-08_2_13,2025-08-08,win,main,0.0762834280308
2025-08-08_2_13,2025-08-08,win,harville,1.11022302463e-16
2025-08-08_2_13,2025-08-08,exacta,main,0.0754898870625
2025-08-08_2_13,2025-08-08,exacta,harville,0.115984000959
2025-08-08_2_13,2025-08-08,quinella,main,0.0983269228884
